Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,127.600,0.355,0.261,0.315,0.340,0.384,0.442,0.457,0.490,0.815,2.820
5,126.400,0.663,0.260,0.316,0.346,0.405,0.457,0.502,7.908,46.299,1.507
10,125.400,0.355,0.258,0.314,0.343,0.377,0.442,0.457,0.488,0.964,2.820
15,130.800,0.355,0.260,0.307,0.340,0.388,0.438,0.458,0.498,0.976,2.819
20,138.600,0.364,0.260,0.309,0.335,0.368,0.431,0.452,0.477,6.309,2.751
25,140.400,0.354,0.258,0.304,0.336,0.367,0.429,0.446,0.479,5.922,2.826
30,129.400,0.361,0.259,0.316,0.341,0.373,0.439,0.456,0.508,5.910,2.770
35,146.600,0.343,0.256,0.302,0.331,0.364,0.425,0.447,0.482,0.509,2.918
40,142.200,0.346,0.261,0.305,0.335,0.364,0.433,0.449,0.486,0.902,2.887
45,131.200,0.365,0.261,0.319,0.343,0.376,0.445,0.461,0.497,5.832,2.741
50,136.400,0.354,0.251,0.317,0.343,0.383,0.437,0.456,0.500,0.909,2.826
55,136.200,0.350,0.258,0.309,0.335,0.374,0.441,0.453,0.488,0.627,2.853
60,123.800,0.354,0.260,0.314,0.337,0.380,0.438,0.460,0.505,1.058,2.822
65,115.600,0.615,0.260,0.319,0.347,0.416,0.455,0.493,0.719,60.744,1.627
70,126.400,0.669,0.269,0.325,0.352,0.413,0.459,0.480,8.785,41.001,1.494
75,129.200,0.354,0.255,0.315,0.340,0.374,0.441,0.456,0.506,0.731,2.823
80,136.800,0.353,0.255,0.314,0.340,0.373,0.438,0.457,0.517,0.940,2.832
85,141.400,0.348,0.263,0.306,0.334,0.371,0.435,0.452,0.497,0.539,2.877
90,129.800,0.361,0.252,0.307,0.337,0.389,0.438,0.452,0.550,5.542,2.773
95,134.200,0.369,0.265,0.315,0.346,0.403,0.449,0.463,0.502,6.071,2.710
100,140.800,0.366,0.254,0.319,0.346,0.391,0.443,0.457,0.502,5.430,2.736
105,130.800,0.359,0.266,0.319,0.344,0.397,0.444,0.460,0.502,0.850,2.786
110,133.600,0.360,0.250,0.315,0.340,0.376,0.433,0.451,0.495,5.108,2.781
115,141.000,0.355,0.249,0.309,0.336,0.366,0.427,0.447,0.481,5.917,2.819
120,129.200,0.350,0.260,0.310,0.336,0.374,0.435,0.452,0.489,0.908,2.856
125,114.400,0.520,0.268,0.324,0.349,0.409,0.450,0.471,0.690,21.502,1.922
130,123.400,0.565,0.256,0.327,0.348,0.383,0.448,0.469,5.092,46.937,1.771
135,137.000,0.349,0.260,0.308,0.336,0.367,0.441,0.455,0.489,0.588,2.866
140,132.600,0.351,0.260,0.310,0.338,0.371,0.442,0.457,0.518,0.850,2.846
145,142.600,0.352,0.256,0.306,0.332,0.365,0.431,0.452,0.479,5.372,2.840
150,132.200,0.358,0.255,0.311,0.337,0.379,0.431,0.450,0.487,5.575,2.793
155,130.800,0.348,0.262,0.311,0.335,0.366,0.433,0.451,0.481,0.612,2.873
160,138.200,0.347,0.256,0.305,0.334,0.369,0.433,0.452,0.492,0.778,2.882
165,146.400,0.354,0.259,0.301,0.336,0.371,0.437,0.455,0.492,4.796,2.824
170,145.400,0.349,0.260,0.308,0.336,0.371,0.438,0.452,0.487,0.605,2.862
175,132.200,0.352,0.262,0.311,0.341,0.378,0.442,0.453,0.486,0.562,2.839
180,137.400,0.370,0.259,0.309,0.335,0.374,0.437,0.459,0.529,5.199,2.699
185,142.000,0.350,0.263,0.300,0.335,0.375,0.446,0.462,0.534,0.756,2.858
190,128.600,0.349,0.256,0.306,0.338,0.368,0.437,0.450,0.475,0.851,2.869
195,134.000,0.352,0.255,0.315,0.340,0.385,0.431,0.448,0.494,0.595,2.838
200,130.400,0.367,0.258,0.315,0.340,0.381,0.433,0.449,0.537,5.037,2.728
205,130.400,0.350,0.254,0.313,0.338,0.380,0.429,0.444,0.467,0.823,2.855
210,131.200,0.363,0.254,0.318,0.341,0.389,0.439,0.454,0.505,5.511,2.755
215,139.600,0.347,0.260,0.303,0.332,0.373,0.440,0.453,0.480,0.556,2.880
220,135.000,0.351,0.262,0.308,0.335,0.387,0.436,0.454,0.505,0.804,2.851
225,120.200,1.130,0.264,0.316,0.339,0.371,0.428,0.453,5.302,144.259,0.885
230,133.600,0.359,0.254,0.313,0.340,0.377,0.434,0.456,0.488,5.428,2.787
235,134.400,0.353,0.252,0.310,0.339,0.383,0.437,0.458,0.513,0.970,2.833
240,125.600,0.359,0.255,0.319,0.343,0.385,0.447,0.466,0.519,0.898,2.789
245,125.200,0.365,0.256,0.321,0.345,0.406,0.444,0.483,0.589,0.875,2.743
250,134.400,0.367,0.259,0.324,0.346,0.384,0.435,0.457,0.543,5.185,2.722
255,130.600,0.356,0.258,0.313,0.336,0.368,0.442,0.455,0.483,3.925,2.808
260,136.400,0.344,0.251,0.308,0.332,0.365,0.428,0.447,0.471,0.534,2.907
265,134.400,0.343,0.258,0.304,0.330,0.366,0.432,0.447,0.485,0.524,2.917
270,110.400,0.352,0.266,0.316,0.338,0.374,0.429,0.451,0.513,0.671,2.844
275,135.600,0.361,0.254,0.315,0.344,0.373,0.440,0.461,0.520,4.280,2.773
280,130.600,0.345,0.257,0.304,0.332,0.364,0.434,0.450,0.481,0.785,2.897
285,138.800,0.348,0.258,0.306,0.333,0.375,0.434,0.452,0.483,0.792,2.877
290,133.400,0.355,0.254,0.315,0.342,0.382,0.442,0.459,0.486,0.550,2.820
295,138.600,0.370,0.264,0.321,0.347,0.399,0.451,0.469,0.525,3.821,2.701
300,26.400,0.361,0.259,0.325,0.347,0.417,0.451,0.460,0.476,0.484,2.768
