timestamp_utc,hostname,instance,ncpus,mem_gib,shared_buffers,synchronous_commit,target_schema_gib,scalefactor,terminals,rampup_min,duration_min,load_seconds,run_seconds,tps,tpm,goodput_tps,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_avg_ms,db_size_pretty,db_size_gib,db_size_vs_sb_pct,error
2026-07-22T21:06:09.810371+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,0.25,2,1,2,5,8.4,424.0,1630.02,97801,,,,,,447 MB,0.4362,1.39,
2026-07-22T21:13:13.846798+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,0.25,2,8,2,5,8.4,432.4,10949.85,656991,,,,,,447 MB,0.4362,1.39,
2026-07-22T21:20:26.296989+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,0.25,2,16,2,5,8.4,437.8,18079.5,1084770,,,,,,447 MB,0.4362,1.39,
2026-07-22T21:27:44.152946+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,0.25,2,32,2,5,8.4,444.3,24234.81,1454089,,,,,,447 MB,0.4362,1.39,
2026-07-22T21:35:36.390272+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,0.5,3,1,2,5,10.1,423.8,1520.2,91212,,,,,,537 MB,0.524,1.67,
2026-07-22T21:42:40.321113+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,0.5,3,8,2,5,10.1,432.2,10388.05,623283,,,,,,537 MB,0.524,1.67,
2026-07-22T21:49:52.570924+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,0.5,3,16,2,5,10.1,438.8,17740.41,1064425,,,,,,537 MB,0.524,1.67,
2026-07-22T21:57:11.508421+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,0.5,3,32,2,5,10.1,446.2,22933.31,1375999,,,,,,537 MB,0.524,1.67,
2026-07-22T22:05:20.015143+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,1.0,7,1,2,5,24.7,423.6,1260.63,75638,,,,,,1383 MB,1.3501,4.29,
2026-07-22T22:12:23.675430+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,1.0,7,8,2,5,24.7,429.4,9096.5,545790,,,,,,1383 MB,1.3501,4.29,
2026-07-22T22:19:33.179477+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,1.0,7,16,2,5,24.7,436.6,15383.75,923025,,,,,,1383 MB,1.3501,4.29,
2026-07-22T22:26:49.878326+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,1.0,7,32,2,5,24.7,444.0,22461.12,1347667,,,,,,1383 MB,1.3501,4.29,
2026-07-22T22:35:19.287626+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,2.0,14,1,2,5,48.1,423.4,1053.05,63183,,,,,,2934 MB,2.8656,9.11,
2026-07-22T22:42:22.778503+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,2.0,14,8,2,5,48.1,430.1,7631.91,457915,,,,,,2934 MB,2.8656,9.11,
2026-07-22T22:49:32.981194+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,2.0,14,16,2,5,48.1,433.8,13422.96,805378,,,,,,2934 MB,2.8656,9.11,
2026-07-22T22:56:46.881524+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,2.0,14,32,2,5,48.1,444.9,22658.73,1359524,,,,,,2934 MB,2.8656,9.11,
2026-07-22T23:06:04.129996+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,4.0,27,1,2,5,95.4,422.1,771.25,46275,,,,,,6173 MB,6.0282,19.17,
2026-07-22T23:13:06.343579+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,4.0,27,8,2,5,95.4,427.5,5954.11,357247,,,,,,6173 MB,6.0282,19.17,
2026-07-22T23:20:13.974647+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,4.0,27,16,2,5,95.4,431.9,10288.61,617316,,,,,,6173 MB,6.0282,19.17,
2026-07-22T23:27:25.950596+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,on,4.0,27,32,2,5,95.4,429.2,7397.48,443849,,,,,,6173 MB,6.0282,19.17,
2026-07-22T23:34:55.391683+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,0.25,2,1,2,5,6.4,424.1,1816.7,109002,,,,,,375 MB,0.3662,1.16,
2026-07-22T23:41:59.622230+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,0.25,2,8,2,5,6.4,434.6,13291.28,797477,,,,,,375 MB,0.3662,1.16,
2026-07-22T23:49:14.321337+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,0.25,2,16,2,5,6.4,444.4,22128.75,1327725,,,,,,375 MB,0.3662,1.16,
2026-07-22T23:56:38.819086+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,0.25,2,32,2,5,6.4,449.0,27326.87,1639612,,,,,,375 MB,0.3662,1.16,
2026-07-23T00:04:36.350778+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,0.5,3,1,2,5,9.5,422.8,1657.84,99471,,,,,,599 MB,0.5847,1.86,
2026-07-23T00:11:39.222068+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,0.5,3,8,2,5,9.5,432.6,12630.53,757832,,,,,,599 MB,0.5847,1.86,
2026-07-23T00:18:51.875900+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,0.5,3,16,2,5,9.5,442.3,21726.25,1303575,,,,,,599 MB,0.5847,1.86,
2026-07-23T00:26:14.268931+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,0.5,3,32,2,5,9.5,450.9,30373.81,1822428,,,,,,599 MB,0.5847,1.86,
2026-07-23T00:34:26.925637+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,1.0,7,1,2,5,22.8,423.6,1377.17,82630,,,,,,1574 MB,1.5374,4.89,
2026-07-23T00:41:30.643734+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,1.0,7,8,2,5,22.8,432.3,10180.96,610858,,,,,,1574 MB,1.5374,4.89,
2026-07-23T00:48:43.035446+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,1.0,7,16,2,5,22.8,439.3,17893.28,1073597,,,,,,1574 MB,1.5374,4.89,
2026-07-23T00:56:02.390143+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,1.0,7,32,2,5,22.8,450.7,30544.81,1832689,,,,,,1574 MB,1.5374,4.89,
2026-07-23T01:04:29.701827+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,2.0,14,1,2,5,38.0,422.4,1117.96,67078,,,,,,2878 MB,2.8109,8.94,
2026-07-23T01:11:32.200428+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,2.0,14,8,2,5,38.0,429.6,8407.69,504461,,,,,,2878 MB,2.8109,8.94,
2026-07-23T01:18:41.912845+00:00,t2d-standard-32-c30b8e5,t2d-standard-32,32,125.78,32200MB,off,2.0,14,16,2,5,38.0,436.6,15487.9,929274,,,,,,2878 MB,2.8109,8.94,
