Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16699.800,0.955,0.430,0.709,0.744,0.793,0.957,2.995,4.202,12.566,1.047
5,16594.600,1.005,0.433,0.705,0.740,0.791,0.950,3.041,4.385,649.648,0.995
10,6835.800,2.235,0.439,0.704,0.740,0.796,0.963,3.085,4.657,1675.794,0.447
15,14850.400,1.076,0.424,0.708,0.747,0.806,0.983,3.105,4.491,279.887,0.929
20,16358.400,0.977,0.430,0.701,0.742,0.807,0.986,3.158,4.614,13.012,1.024
25,16191.000,0.987,0.437,0.710,0.750,0.814,0.979,3.151,4.706,15.285,1.013
30,16619.800,0.962,0.428,0.701,0.740,0.801,0.972,2.971,4.439,11.811,1.040
35,16964.600,0.942,0.441,0.692,0.730,0.788,0.995,2.885,4.228,15.888,1.062
40,16516.800,0.968,0.435,0.704,0.743,0.804,1.062,3.008,4.336,21.695,1.033
45,13246.000,1.255,0.429,0.698,0.735,0.789,1.016,2.938,4.352,1707.476,0.797
50,8074.400,1.901,0.431,0.690,0.729,0.788,1.062,2.985,4.625,1627.991,0.526
55,16498.400,0.969,0.427,0.697,0.735,0.796,1.059,3.073,4.570,14.586,1.032
60,16401.800,0.975,0.424,0.700,0.741,0.802,1.048,3.038,4.743,19.209,1.026
65,16860.800,0.948,0.414,0.690,0.730,0.788,1.032,2.997,4.275,8.938,1.055
70,16813.800,0.951,0.416,0.693,0.732,0.792,1.029,2.964,4.305,13.376,1.052
75,10955.000,1.515,0.435,0.686,0.724,0.783,1.057,2.753,4.217,939.180,0.660
80,16109.400,0.954,0.438,0.688,0.722,0.767,0.993,2.698,3.871,388.582,1.048
85,17512.400,0.913,0.427,0.686,0.721,0.766,0.972,2.647,3.766,82.983,1.096
90,17121.600,0.933,0.405,0.700,0.736,0.787,0.972,2.802,4.047,13.646,1.071
95,12480.800,1.281,0.422,0.702,0.740,0.799,1.020,2.883,4.166,898.818,0.781
100,17424.800,0.917,0.413,0.691,0.729,0.787,1.005,2.674,3.832,10.682,1.090
105,17183.800,0.930,0.429,0.698,0.735,0.787,0.982,2.784,4.039,10.850,1.075
110,17249.600,0.927,0.403,0.697,0.731,0.782,0.993,2.760,3.961,11.700,1.079
115,17398.400,0.919,0.424,0.691,0.727,0.778,0.989,2.697,3.933,14.367,1.088
120,10339.800,1.546,0.433,0.696,0.735,0.804,1.008,2.866,4.769,938.941,0.647
125,16689.000,0.958,0.438,0.700,0.740,0.809,1.016,2.842,4.517,13.476,1.044
130,17096.200,0.935,0.448,0.699,0.735,0.791,1.002,2.778,4.094,12.642,1.070
135,16685.800,0.958,0.437,0.701,0.739,0.798,1.018,2.917,4.382,15.892,1.044
140,15695.200,1.018,0.431,0.698,0.755,0.886,1.116,3.088,5.355,21.081,0.982
145,13478.400,1.251,0.408,0.696,0.737,0.800,1.035,2.946,4.509,1379.762,0.799
150,8585.400,1.761,0.419,0.692,0.729,0.778,0.970,2.864,4.308,1450.542,0.568
