Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8421.400,0.948,0.583,0.793,0.828,0.880,1.047,1.911,3.146,7.718,1.055
5,8434.000,0.946,0.588,0.783,0.818,0.882,1.105,1.828,3.448,8.471,1.057
10,8388.000,0.952,0.581,0.781,0.814,0.867,1.194,1.864,3.543,124.560,1.050
15,8459.200,0.945,0.585,0.782,0.815,0.877,1.094,1.874,3.323,6.839,1.059
20,8397.200,0.952,0.590,0.790,0.826,0.883,1.044,1.907,3.367,8.369,1.051
25,8576.200,0.932,0.580,0.798,0.826,0.868,0.942,1.902,2.762,7.032,1.073
30,8516.000,0.939,0.579,0.803,0.831,0.870,0.937,1.932,2.671,8.325,1.065
35,7488.000,1.068,0.581,0.802,0.833,0.874,0.953,1.941,3.287,159.153,0.937
40,8605.200,0.929,0.579,0.798,0.824,0.862,0.923,1.877,2.637,115.779,1.077
45,8574.000,0.932,0.592,0.800,0.828,0.866,0.924,1.875,2.799,6.940,1.073
50,8480.800,0.942,0.567,0.804,0.835,0.871,0.932,1.916,2.752,124.810,1.061
55,8526.000,0.938,0.585,0.803,0.832,0.874,0.944,1.889,2.770,7.720,1.067
60,8491.000,0.941,0.587,0.802,0.831,0.870,0.961,1.944,2.871,9.296,1.062
65,8542.000,0.936,0.582,0.795,0.827,0.870,0.977,1.894,2.929,7.123,1.069
70,8523.000,0.938,0.580,0.781,0.812,0.860,1.090,1.884,3.220,7.857,1.066
75,8488.200,0.942,0.570,0.787,0.821,0.870,1.065,1.877,3.211,10.527,1.062
80,8518.000,0.938,0.581,0.786,0.815,0.861,1.098,1.915,3.358,9.650,1.066
85,8573.800,0.932,0.584,0.790,0.819,0.861,1.005,1.877,3.130,7.104,1.073
90,8549.600,0.935,0.576,0.796,0.828,0.870,0.952,1.869,2.754,7.691,1.070
95,7601.400,1.053,0.575,0.801,0.835,0.876,0.970,1.946,3.858,85.037,0.949
100,7467.000,1.069,0.576,0.796,0.825,0.869,0.964,1.897,4.117,94.670,0.936
105,8577.800,0.932,0.551,0.797,0.826,0.865,0.939,1.870,3.031,7.496,1.073
110,8679.600,0.921,0.586,0.792,0.819,0.857,0.934,1.833,2.734,7.528,1.086
115,8609.000,0.928,0.581,0.793,0.818,0.859,0.931,1.855,2.885,130.203,1.077
120,8663.800,0.923,0.588,0.793,0.819,0.859,0.934,1.840,2.547,8.100,1.084
125,8620.400,0.927,0.573,0.795,0.821,0.862,0.938,1.885,2.710,7.444,1.078
130,8401.400,0.951,0.584,0.805,0.837,0.878,0.967,1.944,3.343,11.004,1.051
135,8473.400,0.943,0.576,0.802,0.834,0.874,0.958,1.907,2.982,7.772,1.060
140,8471.400,0.944,0.583,0.804,0.838,0.879,0.954,1.871,2.965,7.898,1.060
145,8510.400,0.939,0.578,0.801,0.831,0.872,0.949,1.912,2.877,7.288,1.065
