Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8901.600,0.896,0.296,0.515,0.541,0.577,0.692,2.320,3.297,297.959,1.116
5,10936.400,0.729,0.287,0.520,0.545,0.580,0.669,2.366,3.199,32.738,1.371
10,10909.000,0.732,0.286,0.523,0.551,0.586,0.674,2.404,3.294,22.621,1.366
15,11096.600,0.720,0.282,0.517,0.543,0.580,0.676,2.292,3.202,40.415,1.389
20,11302.000,0.707,0.294,0.512,0.538,0.575,0.675,2.201,3.134,23.914,1.414
25,8856.400,0.903,0.295,0.514,0.539,0.575,0.680,2.273,3.183,645.126,1.108
30,9004.600,0.888,0.287,0.514,0.543,0.581,0.691,2.314,3.472,724.227,1.127
35,11384.400,0.702,0.285,0.516,0.542,0.578,0.660,2.283,3.191,9.174,1.425
40,11536.200,0.693,0.287,0.513,0.539,0.573,0.656,2.238,2.969,9.450,1.444
45,10328.200,0.784,0.298,0.513,0.539,0.575,0.670,2.260,3.084,564.902,1.275
50,11105.000,0.710,0.289,0.512,0.540,0.575,0.656,2.261,3.097,71.440,1.409
55,11392.800,0.701,0.293,0.517,0.543,0.578,0.660,2.282,3.124,54.311,1.426
60,9925.600,0.818,0.285,0.520,0.547,0.583,0.676,2.430,3.615,177.843,1.223
65,5815.200,1.354,0.310,0.521,0.547,0.586,0.714,2.578,10.845,261.483,0.739
70,10850.800,0.736,0.290,0.521,0.555,0.599,0.754,2.458,3.623,44.901,1.358
75,11457.800,0.697,0.279,0.514,0.540,0.575,0.660,2.260,3.082,8.193,1.434
80,8632.600,0.926,0.296,0.515,0.542,0.577,0.679,2.289,3.317,518.574,1.080
85,11197.800,0.714,0.291,0.514,0.543,0.583,0.808,2.287,3.383,10.295,1.401
90,11250.000,0.710,0.287,0.517,0.545,0.583,0.707,2.313,3.361,10.065,1.408
95,8685.400,0.940,0.294,0.517,0.547,0.587,0.742,2.364,3.499,717.259,1.064
100,9991.800,0.783,0.297,0.515,0.543,0.577,0.681,2.250,3.008,529.546,1.278
105,11463.400,0.697,0.292,0.514,0.544,0.579,0.667,2.240,3.109,8.024,1.435
110,10843.200,0.737,0.288,0.503,0.539,0.616,0.852,2.300,3.778,9.994,1.357
115,10955.800,0.729,0.291,0.507,0.540,0.597,0.877,2.269,3.691,10.069,1.371
120,10278.800,0.783,0.290,0.510,0.544,0.589,0.745,2.378,3.774,143.457,1.277
125,4983.600,1.592,0.276,0.510,0.544,0.588,0.766,2.335,38.124,244.100,0.628
130,9108.400,0.891,0.289,0.511,0.542,0.582,0.745,2.248,3.298,496.757,1.122
135,11010.000,0.714,0.285,0.506,0.539,0.580,0.791,2.251,3.306,140.480,1.400
140,11195.800,0.714,0.297,0.510,0.540,0.582,0.792,2.330,3.383,10.638,1.401
145,11453.200,0.698,0.293,0.504,0.534,0.574,0.784,2.232,3.214,8.446,1.433
150,7571.400,1.056,0.298,0.503,0.533,0.575,0.789,2.245,3.417,500.797,0.947
